source,gameId,sport,division,date,team,opponent
pbp_gap,6568343,softball,D3,,,
pbp_gap,6568358,softball,D3,,,
pbp_gap,6568373,softball,D3,,,
pbp_gap,6568381,softball,D3,,,
pbp_gap,6568389,softball,D3,,,
pbp_gap,6568412,softball,D3,,,
pbp_gap,6568438,softball,D3,,,
pbp_gap,6568442,softball,D3,,,
pbp_gap,6568446,softball,D3,,,
pbp_gap,6568462,softball,D3,,,
pbp_gap,6568470,softball,D3,,,
pbp_gap,6568495,softball,D3,,,
pbp_gap,6568506,softball,D3,,,
pbp_gap,6568542,softball,D3,,,
pbp_gap,6568557,softball,D3,,,
pbp_gap,6568558,softball,D3,,,
pbp_gap,6568562,softball,D3,,,
pbp_gap,6572677,softball,D3,,,
pbp_gap,6572697,softball,D3,,,
pbp_gap,6572703,softball,D3,,,
pbp_gap,6572741,softball,D3,,,
pbp_gap,6572813,softball,D3,,,
pbp_gap,6572923,softball,D3,,,
pbp_gap,6573552,softball,D3,,,
pbp_gap,6573657,softball,D3,,,
pbp_gap,6573664,softball,D3,,,
pbp_gap,6573665,softball,D3,,,
pbp_gap,6573669,softball,D3,,,
pbp_gap,6573671,softball,D3,,,
pbp_gap,6573674,softball,D3,,,
pbp_gap,6573676,softball,D3,,,
pbp_gap,6573682,softball,D3,,,
pbp_gap,6573691,softball,D3,,,
pbp_gap,6573693,softball,D3,,,
pbp_gap,6573695,softball,D3,,,
pbp_gap,6573696,softball,D3,,,
pbp_gap,6573697,softball,D3,,,
pbp_gap,6573701,softball,D3,,,
pbp_gap,6573704,softball,D3,,,
pbp_gap,6573706,softball,D3,,,
pbp_gap,6573707,softball,D3,,,
pbp_gap,6573709,softball,D3,,,
pbp_gap,6573710,softball,D3,,,
pbp_gap,6573711,softball,D3,,,
pbp_gap,6573712,softball,D3,,,
pbp_gap,6573713,softball,D3,,,
pbp_gap,6573714,softball,D3,,,
pbp_gap,6573715,softball,D3,,,
pbp_gap,6573717,softball,D3,,,
pbp_gap,6573726,softball,D3,,,
pbp_gap,6573731,softball,D3,,,
pbp_gap,6573733,softball,D3,,,
pbp_gap,6573734,softball,D3,,,
pbp_gap,6573738,softball,D3,,,
pbp_gap,6573742,softball,D3,,,
pbp_gap,6573743,softball,D3,,,
pbp_gap,6573745,softball,D3,,,
pbp_gap,6573826,softball,D3,,,
pbp_gap,6573843,softball,D3,,,
pbp_gap,6573852,softball,D3,,,
pbp_gap,6573875,softball,D3,,,
