sport,division,team,date,opponent,result,runsFor,runsAgainst,teamYearId,opponentYearId
baseball,unknown,Edgewood,2026-04-04,Benedictine (IL),L 3-8,3.0,8.0,615419,615228.0
baseball,unknown,Edgewood,2026-04-04,Benedictine (IL),W 8-1,8.0,1.0,615419,615228.0
baseball,unknown,Edward Waters,2026-03-21,Kentucky St.,W 26-1,26.0,1.0,615115,615042.0
baseball,unknown,Edward Waters,2026-03-21,Kentucky St.,L 8-13,8.0,13.0,615115,615042.0
baseball,unknown,Edward Waters,2026-03-22,Kentucky St.,W 19-5,19.0,5.0,615115,615042.0
baseball,unknown,Edward Waters,2026-03-31,Thomas (GA),L 3-7,3.0,7.0,615115,
baseball,unknown,Edward Waters,2026-04-07,Thomas (GA),L 9-10,9.0,10.0,615115,
baseball,unknown,Edward Waters,2026-04-11,Savannah St.,W 14-4,14.0,4.0,615115,614997.0
baseball,unknown,Edward Waters,2026-04-11,Savannah St.,L 2-3,2.0,3.0,615115,614997.0
baseball,unknown,Elizabethtown,2026-04-04,Wilkes,L 5-8,5.0,8.0,615201,615392.0
baseball,unknown,Elizabethtown,2026-04-11,Juniata,W 14-9,14.0,9.0,615201,615237.0
baseball,unknown,Elizabethtown,2026-04-11,Juniata,W 8-6,8.0,6.0,615201,615237.0
baseball,unknown,Elmira,2026-04-04,SUNY Brockport,L 2-13,2.0,13.0,615203,615163.0
baseball,unknown,Elmira,2026-04-04,SUNY Brockport,L 7-22,7.0,22.0,615203,615163.0
baseball,unknown,Elms,2026-03-06,"Chatham @Davenport, FL",L 3-7,3.0,7.0,615315,615471.0
baseball,unknown,Elms,2026-03-06,"Chatham @Davenport, FL",L 2-4,2.0,4.0,615315,615471.0
baseball,unknown,Elms,2026-04-02,Lasell,L 0-5,0.0,5.0,615315,615461.0
baseball,unknown,Elms,2026-04-02,Lasell,W 13-9,13.0,9.0,615315,615461.0
baseball,unknown,Emerson,2026-04-04,WPI,L 3-4,3.0,4.0,615204,615405.0
baseball,unknown,Emerson,2026-04-04,WPI,W 7-2,7.0,2.0,615204,615405.0
baseball,unknown,Emory,2026-04-04,CWRU,W 6-5,6.0,5.0,615205,615172.0
baseball,unknown,Emory,2026-04-04,CWRU,L 4-6,4.0,6.0,615205,615172.0
baseball,unknown,Emory,2026-04-17,UChicago,L 6-7,6.0,7.0,615205,615179.0
baseball,unknown,Emory,2026-04-17,UChicago,L 0-10,0.0,10.0,615205,615179.0
baseball,unknown,Endicott,2026-04-04,Western New Eng.,W 5-0,5.0,0.0,615469,615385.0
baseball,unknown,Endicott,2026-04-04,Western New Eng.,W 6-0,6.0,0.0,615469,615385.0
baseball,unknown,Eureka,2026-04-17,MUW,L 11-15,11.0,15.0,615206,615273.0
baseball,unknown,Eureka,2026-04-17,MUW,W 16-6,16.0,6.0,615206,615273.0
baseball,D1,Evansville,2026-04-04,Bradley,W 9-4,9.0,4.0,614770,614866.0
baseball,D1,FDU,2026-04-02,UMES,W 7-3,7.0,3.0,614602,614655.0
baseball,unknown,FDU-Florham,2026-04-07,John Jay,W 2-0,2.0,0.0,615207,615235.0
baseball,D1,FGCU,2026-04-02,West Ga.,L 4-9,4.0,9.0,614841,614784.0
baseball,D1,FIU,2026-04-02,Louisiana Tech,W 7-4,7.0,4.0,614605,614645.0
baseball,D1,Fairfield,2026-04-02,Merrimack,W 7-6,7.0,6.0,614601,614826.0
baseball,unknown,Fitchburg St.,2026-04-04,MCLA,L 6-7,6.0,7.0,615209,615301.0
baseball,unknown,Fitchburg St.,2026-04-04,MCLA,L 7-9,7.0,9.0,615209,615301.0
baseball,D1,Fla. Atlantic,2026-02-13,Notre Dame,W 7-1,7.0,1.0,614604,614698.0
baseball,D1,Fla. Atlantic,2026-04-02,UAB,L 2-7,2.0,7.0,614604,614849.0
baseball,D1,Florida,2026-04-02,Ole Miss,L 4-6,4.0,6.0,614607,614668.0
baseball,D1,Florida A&M,2026-03-14,Southern U.,L 5-9,5.0,9.0,614603,614745.0
baseball,D1,Florida A&M,2026-04-02,Prairie View,W 17-14,17.0,14.0,614603,614712.0
baseball,D1,Florida St.,2026-04-02,Virginia,L 3-4,3.0,4.0,614606,614807.0
baseball,unknown,Florida Tech,2026-03-06,Sioux Falls,W 3-1,3.0,1.0,615034,614969.0
baseball,unknown,Fort Hays St.,2026-04-14,Washburn,L 5-13,5.0,13.0,614925,614916.0
baseball,unknown,Framingham St.,2026-04-04,Bridgewater St.,L 4-14,4.0,14.0,615210,615162.0
baseball,unknown,Framingham St.,2026-04-04,Bridgewater St.,L 4-12,4.0,12.0,615210,615162.0
baseball,unknown,Framingham St.,2026-04-15,Curry,W 8-7,8.0,7.0,615210,615191.0
baseball,unknown,Franciscan,2026-04-09,Kent St.-Tuscarawas,W 6-4,6.0,4.0,615279,
baseball,unknown,Franciscan,2026-04-09,Kent St.-Tuscarawas,L 9-17,9.0,17.0,615279,
baseball,unknown,Franklin,2026-02-22,"Concordia Chicago @Memphis, TN",W 13-12,13.0,12.0,615453,615187.0
baseball,unknown,Franklin,2026-02-28,North Central (IL),W 12-6,12.0,6.0,615453,615303.0
