year,sport,school,conference,record,berth_type
2017,baseball,Big West,2,"Cal State Fullerton , Long Beach State",
2017,baseball,Conference USA,2,"Rice , Southern Miss",
2017,baseball,Missouri Valley,2,"Dallas Baptist , Missouri State",
2017,baseball,Southland,2,"Sam Houston State , Southeastern Louisiana",
2017,baseball,America East,1,UMBC,
2017,baseball,Atlantic 10,1,Davidson,
2017,baseball,Atlantic Sun,1,Florida Gulf Coast,
2017,baseball,Big South,1,Radford,
2017,baseball,Colonial,1,Delaware,
2017,baseball,Horizon,1,UIC,
2017,baseball,Ivy,1,Yale,
2017,baseball,MAAC,1,Marist,
2017,baseball,Mid-American,1,Ohio,
2017,baseball,MEAC,1,Bethune-Cookman,
2017,baseball,Mountain West,1,San Diego State,
2017,baseball,NEC,1,Central Connecticut,
2017,baseball,Ohio Valley,1,Tennessee Tech,
2017,baseball,Patriot,1,Holy Cross,
2017,baseball,Southern,1,UNC Greensboro,
2017,baseball,Summit,1,Oral Roberts,
2017,baseball,Sun Belt,1,South Alabama,
2017,baseball,SWAC,1,Texas Southern,
2017,baseball,West Coast,1,BYU,
2017,baseball,WAC,1,Sacramento State,
2017,baseball,Cal State Fullerton,Big West,39–22 (15–9),Rick Vanderhook
2017,baseball,Florida,SEC,47–18 (21–9),Kevin O'Sullivan
2017,baseball,Louisville,ACC,52–10 (23–6),Dan McDonnell
2017,baseball,TCU,Big 12,47–16 (16–8),Jim Schlossnagle
2017,baseball,Texas A&M,SEC,41–21 (16–14),Rob Childress
2017,baseball,P,Alex Faedo ( MOP ),Florida,
2017,baseball,Brady Singer,Florida,,
2017,baseball,C,Michael Papierski,LSU,
2017,baseball,1B,Drew Mendoza,Florida State,
2017,baseball,2B,Nick Madrigal,Oregon State,
2017,baseball,3B,Dylan Busby,Florida State,
2017,baseball,SS,Timmy Richards,Cal State Fullerton,
2017,baseball,OF,Antoine Duplantis,LSU,
2017,baseball,Austin Langworthy,Florida,,
2017,baseball,Zach Watson,LSU,,
2017,baseball,DH,Brendan McKay,Louisville,
2017,baseball,1st,No. 3 Florida,10–3,
2017,baseball,2nd,No. 4 LSU,9–3,
2017,baseball,3rd,No. 1 Oregon St,7–2,
2017,baseball,No. 6 TCU,8–2,,
2017,baseball,5th,Florida State,7–3,
2017,baseball,No. 7 Louisville,6–2,,
2017,baseball,7th,Cal State Fullerton,5–3,
2017,baseball,9th,Davidson,3–2,
2017,baseball,Kentucky,4–3,,
2017,baseball,Long Beach St.,5–3,,
2017,baseball,Mississippi State,4–3,,
2017,baseball,Missouri State,3–3,,
2017,baseball,Sam Houston St.,4–3,,
2017,baseball,Vanderbilt,3–3,,
2017,baseball,Wake Forest,4–2,,
2017,baseball,17th,Arkansas,3–2,
2017,baseball,Auburn,2–2,,
2017,baseball,Clemson,3–2,,
2017,baseball,NC State,2–2,,
2017,baseball,No. 2 North Carolina,2–2,,
2017,baseball,Southern Miss,2–2,,
2017,baseball,No. 8 Stanford,2–2,,
2017,baseball,Texas,2–2,,
2017,baseball,No. 5 Texas Tech,2–2,,
2017,baseball,West Virginia,2–2,,
2017,baseball,33rd,Arizona,1–2,
2017,baseball,Indiana,1–2,,
2017,baseball,Maryland,1–2,,
2017,baseball,Oklahoma,1–2,,
2017,baseball,South Florida,1–2,,
2017,baseball,Southeastern Louisiana,1–2,,
2017,baseball,Virginia,1–2,,
2017,baseball,49th,Baylor,0–2,
2017,baseball,Central Connecticut State,0–2,,
2017,baseball,Michigan,0–2,,
2017,baseball,Nebraska,0–2,,
2017,baseball,St. John's,0–2,,
2017,baseball,UCF,0–2,,
2017,baseball,UCLA,0–2,,
2018,baseball,Hartford,America East,26–29 (17–8),Tournament
2018,baseball,East Carolina,American,43–16 (15–10),Tournament
2018,baseball,Florida State,ACC,43–17 (16–13),Tournament
2018,baseball,Stetson,Atlantic Sun,45–11 (15–3),Tournament
2018,baseball,Saint Louis,Atlantic 10,38–18 (20–4),Tournament
2018,baseball,Baylor,Big 12,36–19 (14–11),Tournament
2018,baseball,St. John's,Big East,39–15 (15–3),Tournament
2018,baseball,Campbell,Big South,35–24 (22–6),Tournament
2018,baseball,Minnesota,Big Ten,40–13 (18–4),Tournament
2018,baseball,Cal State Fullerton,Big West,32–23 (18–6),Regular season
2018,baseball,UNC Wilmington,Colonial,37–21 (14–9),Tournament
2018,baseball,Southern Miss,Conference USA,43–16 (23–6),Tournament
2018,baseball,Wright State,Horizon,39–15 (23–6),Tournament
2018,baseball,Columbia,Ivy League,20–27 (13–8),Championship series
2018,baseball,Canisius,Metro Atlantic,35–20 (16–8),Tournament
2018,baseball,Kent State,Mid-American,39–16 (19–8),Tournament
2018,baseball,North Carolina A&T,Mid-Eastern,32–23 (16–8),Tournament
2018,baseball,Missouri State,Missouri Valley,39–15 (18–3),Tournament
2018,baseball,San Diego State,Mountain West,39–19 (19–12),Tournament
2018,baseball,LIU Brooklyn,Northeast,31–24 (16–12),Tournament
2018,baseball,Morehead State,Ohio Valley,37–24 (20–12),Tournament
2018,baseball,Stanford,Pac-12,44–10 (22–8),Regular season
2018,baseball,Army,Patriot,35–22 (18–7),Tournament
2018,baseball,Ole Miss,Southeastern,46–15 (18–12),Tournament
2018,baseball,Samford,Southern,36–24 (16–8),Tournament
2018,baseball,Northwestern State,Southland,37–22 (18–12),Tournament
2018,baseball,Texas Southern,Southwestern Athletic,27–26 (17–6),Tournament
2018,baseball,Oral Roberts,Summit,38–18 (24–6),Tournament
2018,baseball,Coastal Carolina,Sun Belt,42–17 (23–7),Tournament
2018,baseball,Gonzaga,West Coast,32–22 (16–11),Tournament
2018,baseball,New Mexico State,Western Athletic,40–20 (17–7),Tournament
2018,baseball,SEC,10,"Arkansas , Auburn , Florida , Georgia , South Carolina , Ole Miss , Texas A&M , LSU , Mississippi State , Vanderbilt",
2018,baseball,ACC,6,"NC State , Duke , Louisville , Florida State , Clemson , North Carolina",
