year,team,rpi_rank,in_tournament,is_host,w,l,q1_w,q1_l,q2_w,q2_l,q1q2_w,q1q2_g,q1q2_pct,note
2015,Old Dominion,125,False,False,27,29,5,12,4,8,9,29,0.3103,
2015,Rhode Island,126,False,False,26,25,1,5,3,7,4,16,0.25,
2015,BYU,127,False,False,28,25,2,8,3,8,5,21,0.2381,
2015,Baylor,128,False,False,23,32,2,14,2,5,4,23,0.1739,
2015,Arizona,129,False,False,31,24,2,10,8,7,10,27,0.3704,
2015,Dartmouth,130,False,False,21,22,2,12,1,2,3,17,0.1765,
2015,Mississippi St.,131,False,False,24,30,5,21,4,5,9,35,0.2571,
2015,Ga. Southern,132,False,False,30,27,3,7,2,4,5,16,0.3125,
2015,Troy,133,False,False,30,25,1,3,4,6,5,14,0.3571,
2015,Arkansas St.,134,False,False,27,30,3,6,7,12,10,28,0.3571,
2015,Davidson,135,False,False,28,22,1,2,4,6,5,13,0.3846,
2015,Gonzaga,136,False,False,24,28,5,8,2,4,7,19,0.3684,
2015,Ark.-Pine Bluff,137,False,False,24,16,1,2,4,4,5,11,0.4545,
2015,Alabama St.,138,False,False,31,19,1,5,1,3,2,10,0.2,
2015,Kansas,138,False,False,23,32,3,11,8,9,11,31,0.3548,
2015,Elon,140,False,False,25,29,4,10,3,5,7,22,0.3182,
2015,Stetson,141,False,False,29,30,3,13,1,5,4,22,0.1818,
2015,Sam Houston,142,False,False,31,28,0,4,8,8,8,20,0.4,
2015,Minnesota,143,False,False,21,30,3,11,6,11,9,31,0.2903,
2015,UC Davis,144,False,False,30,26,4,9,3,4,7,20,0.35,
2015,UMBC,145,False,False,34,20,0,3,0,4,0,7,0.0,
2015,Washington St.,146,False,False,29,27,4,13,3,4,7,24,0.2917,
2015,FIU,147,True,False,29,29,4,9,10,9,14,32,0.4375,
