rank,teamSeasonId,teamName,conference,record,rpi,sport,division,date
293,613824,Holy Cross,Patriot,293,0.37695,softball,D1,05/10/2026 (Selections)
294,613626,N.C. Central,MEAC,294,0.37689,softball,D1,05/10/2026 (Selections)
295,613779,Alcorn,SWAC,295,0.36893,softball,D1,05/10/2026 (Selections)
296,613589,Le Moyne,NEC,296,0.36675,softball,D1,05/10/2026 (Selections)
297,613566,Morehead St.,OVC,298,0.35193,softball,D1,05/10/2026 (Selections)
298,613729,Coppin St.,MEAC,299,0.34643,softball,D1,05/10/2026 (Selections)
299,613712,Western Ill.,OVC,297,0.34452,softball,D1,05/10/2026 (Selections)
300,613576,Niagara,MAAC,300,0.34448,softball,D1,05/10/2026 (Selections)
301,613944,New Haven,NEC,301,0.33558,softball,D1,05/10/2026 (Selections)
302,613624,Mercyhurst,NEC,303,0.32796,softball,D1,05/10/2026 (Selections)
303,613594,Saint Francis,NEC,304,0.32768,softball,D1,05/10/2026 (Selections)
304,613687,Tennessee St.,OVC,307,0.31768,softball,D1,05/10/2026 (Selections)
305,613663,Saint Peter's,MAAC,302,0.31752,softball,D1,05/10/2026 (Selections)
306,613775,Alabama A&M,SWAC,306,0.31143,softball,D1,05/10/2026 (Selections)
307,613552,UMES,MEAC,305,0.31064,softball,D1,05/10/2026 (Selections)
308,613561,Mississippi Val.,SWAC,308,0.27432,softball,D1,05/10/2026 (Selections)
