team_id,team_name,sport,division,ncaa_school,primary_metric_name,primary_metric_value,fgr,primary_percentile,fgr_percentile,education_percentile
16,Alcorn,Baseball,D1,Alcorn State University,GSR,80.0,61.0,0.07346938775510205,0.3,0.186734693877551
416,Long Beach St.,Baseball,D1,Long Beach State University,GSR,84.0,59.0,0.13877551020408163,0.21063829787234042,0.17470690403821104
870,Washington,Baseball,D1,Eastern Washington University,GSR,84.0,59.0,0.13877551020408163,0.21063829787234042,0.17470690403821104
532,New Mexico St.,Baseball,D1,New Mexico State University,GSR,84.0,59.0,0.13877551020408163,0.21063829787234042,0.17470690403821104
527,Nevada,Baseball,D1,"University of Nevada, Reno",GSR,87.0,56.0,0.24285714285714285,0.10638297872340426,0.17462006079027356
841,Utah,Baseball,D1,Southern Utah University,GSR,85.0,58.0,0.17346938775510204,0.1702127659574468,0.17184107685627442
531,New Mexico,Baseball,D1,University of New Mexico,GSR,88.0,50.0,0.29591836734693877,0.031914893617021274,0.16391663048198002
561,Northwestern St.,Baseball,D1,Northwestern State University,GSR,85.0,57.0,0.17346938775510204,0.13617021276595745,0.15481980026052974
725,Southern U.,Baseball,D1,"Southern University, Baton Rouge",GSR,78.0,60.0,0.03877551020408163,0.2574468085106383,0.14811115935735997
292,Georgia,Baseball,D1,Georgia Southern University,GSR,83.0,58.0,0.11224489795918367,0.1702127659574468,0.14122883195831523
