id,name,class_ranking,current_rpi,academics,conference_id,team_id_ncaa,sport,logo_url,state_id
128,Catholic,0.0,,,89.0,124.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/128.png,51.0
129,Cazenovia,0.0,,,,23624.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/129.png,
130,CCNY,0.0,,,56.0,480.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/130.png,32.0
131,Cedarville,0.0,,,18.0,30124.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/131.png,35.0
132,Centenary (LA),0.0,,,46.0,125.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/132.png,18.0
133,Centenary (NJ),0.0,,,83.0,12884.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/133.png,30.0
134,Central (IA),0.0,,,78.0,126.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/134.png,15.0
135,Central Ark.,0.0,149.0,,48.0,1004.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/135.png,4.0
136,Central Conn. St.,0.0,298.0,,77.0,127.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/136.png,7.0
137,Central Mich.,0.0,226.0,,10.0,129.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/137.png,22.0
138,Central Mo.,0.0,,,96.0,130.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/138.png,25.0
139,Central Okla.,0.0,,,96.0,1009.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/139.png,36.0
140,Central Wash.,0.0,,,97.0,1010.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/140.png,47.0
141,Centre,0.0,,,64.0,132.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/141.png,17.0
142,Chapman,0.0,,,85.0,134.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/142.png,5.0
143,Charleston (WV),0.0,,,17.0,1013.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/143.png,48.0
144,Charleston So.,0.0,123.0,,68.0,48.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/144.png,40.0
145,Charlotte,0.0,93.0,,73.0,458.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/145.png,33.0
146,Chatham,0.0,,,21.0,10972.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/146.png,38.0
147,Chestnut Hill,0.0,,,23.0,21323.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/147.png,38.0
148,Chico St.,0.0,,,87.0,95.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/148.png,5.0
149,Chowan,0.0,,,29.0,8875.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/149.png,33.0
150,Chris. Newport,0.0,,,90.0,139.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/150.png,46.0
151,Christian Brothers,0.0,,,13.0,1015.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/151.png,42.0
152,Cincinnati,0.0,25.0,,59.0,140.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/152.png,35.0
153,Claflin,0.0,,,40.0,30058.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/153.png,40.0
154,Claremont-M-S,0.0,,,85.0,142.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/154.png,5.0
155,Clarion,0.0,,,70.0,143.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/155.png,38.0
156,Clark (MA),0.0,,,52.0,145.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/156.png,21.0
157,Clark Atlanta,0.0,,,14.0,144.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/157.png,10.0
158,Clarks Summit,0.0,,,,958.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/158.png,
159,Clarkson,0.0,,,54.0,146.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/159.png,32.0
160,Clemson,0.0,37.0,,72.0,147.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/160.png,40.0
161,UMSV,0.0,,,93.0,451.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/161.png,32.0
162,Coast Guard,0.0,,,52.0,722.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/162.png,7.0
163,Coastal Carolina,0.0,11.0,,31.0,149.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/163.png,40.0
164,SUNY Cobleskill ,0.0,,,91.0,30083.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/164.png,32.0
165,Coe,0.0,,,78.0,150.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/165.png,15.0
166,Coker,0.0,,,28.0,1023.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/166.png,40.0
167,Col. of Charleston,0.0,188.0,,101.0,1014.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/167.png,40.0
168,Colby,0.0,,,26.0,151.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/168.png,19.0
169,Colby-Sawyer,0.0,,,15.0,152.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/169.png,29.0
170,Colo. Christian,0.0,,,5.0,11403.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/170.png,6.0
171,Colo. Sch. of Mines,0.0,,,5.0,155.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/171.png,6.0
172,Colorado Mesa,0.0,,,5.0,11416.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/172.png,6.0
173,Columbia,0.0,238.0,,76.0,158.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/173.png,32.0
174,Columbus St.,0.0,,,40.0,159.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/174.png,10.0
175,Concord,0.0,,,17.0,1028.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/175.png,48.0
176,Concordia (TX),0.0,,,46.0,24400.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/176.png,43.0
177,Concordia Chicago,0.0,,,44.0,160.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/177.png,13.0
178,Concordia Wisconsin,0.0,,,44.0,1036.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/178.png,49.0
179,Concordia-M'head,0.0,,,39.0,161.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/179.png,23.0
180,Concordia-St. Paul,0.0,,,42.0,9081.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/180.png,23.0
181,Coppin St.,0.0,303.0,,77.0,165.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/181.png,20.0
182,Cornell,0.0,296.0,,76.0,167.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/182.png,32.0
183,Cornell College,0.0,,,63.0,166.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/183.png,15.0
184,Cortland,0.0,,,103.0,168.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/184.png,32.0
185,Covenant,0.0,,,60.0,30111.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/185.png,10.0
186,Creighton,0.0,87.0,,79.0,169.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/186.png,27.0
187,Crown (MN),0.0,,,65.0,30035.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/187.png,23.0
188,CSU Bakersfield,0.0,214.0,,86.0,94.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/188.png,5.0
189,CSU Pueblo,0.0,,,5.0,2720.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/189.png,6.0
190,CSUN,0.0,182.0,,86.0,101.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/190.png,5.0
191,CSUSB,0.0,,,87.0,93.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/191.png,5.0
192,CUI,0.0,,,4.0,30199.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/192.png,5.0
193,Curry,0.0,,,30.0,170.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/193.png,21.0
194,CWRU,0.0,,,74.0,122.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/194.png,35.0
195,Dallas,0.0,,,46.0,1044.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/195.png,43.0
196,Dartmouth,0.0,285.0,,76.0,172.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/196.png,29.0
197,Davenport,0.0,,,38.0,30221.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/197.png,22.0
198,Davidson,0.0,200.0,,80.0,173.0,Baseball,https://64-analytics-team-logos.s3.us-east-1.amazonaws.com/2026/198.png,33.0
