rank,team,dsr,record,conference,sport,date
279,"Southern Indiana",".358","15-32-0",".319",softball,2026-05-09
280,"IU Indy",".353","7-40-0",".149",softball,2026-05-09
281,"Arkansas-Pine Bluff",".352","13-28-0",".311",softball,2026-05-09
282,"Bucknell",".350","9-35-1",".211",softball,2026-05-09
283,"St. Bonaventure",".350","9-44-0",".170",softball,2026-05-09
284,"North Carolina A&T",".348","19-33-0",".377",softball,2026-05-09
285,"North Carolina Central",".345","7-40-0",".167",softball,2026-05-09
286,"Fairleigh Dickinson",".344","20-32-0",".385",softball,2026-05-09
287,"Wagner",".341","20-26-0",".435",softball,2026-05-09
288,"Holy Cross",".340","10-34-0",".227",softball,2026-05-09
289,"Maine",".340","11-36-0",".250",softball,2026-05-09
290,"Merrimack",".339","12-29-0",".293",softball,2026-05-09
291,"Manhattan",".337","15-37-0",".288",softball,2026-05-09
292,"Le Moyne",".336","16-34-0",".320",softball,2026-05-09
293,"Hampton",".335","10-33-0",".233",softball,2026-05-09
294,"Stonehill",".335","13-37-0",".260",softball,2026-05-09
295,"Alcorn State",".334","7-31-0",".233",softball,2026-05-09
296,"Western Illinois",".332","14-32-0",".304",softball,2026-05-09
297,"East Texas A&M",".331","6-46-0",".115",softball,2026-05-09
298,"Niagara",".329","8-34-0",".190",softball,2026-05-09
299,"Mercyhurst",".326","9-34-0",".209",softball,2026-05-09
300,"Coppin State",".321","8-26-0",".235",softball,2026-05-09
301,"New Haven",".321","10-35-0",".222",softball,2026-05-09
302,"Tennessee State",".320","2-38-0",".050",softball,2026-05-09
303,"Morehead State",".319","7-38-0",".156",softball,2026-05-09
304,"UMES",".315","9-31-0",".326",softball,2026-05-09
305,"Saint Francis",".312","5-42-1",".115",softball,2026-05-09
306,"Saint Peter's",".308","7-44-0",".137",softball,2026-05-09
307,"Alabama A&M",".303","10-29-0",".380",softball,2026-05-09
308,"Mississippi Valley",".291","0-36-0",".026",softball,2026-05-09
